Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
UpLy-12-10--179	Be-10 (qtz)	14713	232	1194	14465	228	1117	14110	222	868	--	--	--
													
UpLy-12-10--180	Be-10 (qtz)	14413	230	1182	14178	226	1106	13796	220	857	--	--	--
													
UpLy-12-10--181	Be-10 (qtz)	15048	238	1225	14780	234	1145	14408	228	889	--	--	--
													
UpLy-12-10--182	Be-10 (qtz)	15789	259	1331	15413	252	1234	15018	245	957	--	--	--
													
UpLy-12-10--183	Be-10 (qtz)	14806	237	1220	14548	233	1140	14177	227	885	--	--	--
													
UpLy-12-10--184	Be-10 (qtz)	15272	250	1289	14959	245	1200	14590	239	932	--	--	--
													
UpLy-12-10--185	Be-10 (qtz)	14150	222	1144	13933	219	1071	13539	213	829	--	--	--
													
UpLy-12-10--186	Be-10 (qtz)	14844	239	1231	14583	235	1150	14212	229	892	--	--	--
													
UpLy-12-10--187	Be-10 (qtz)	14522	231	1188	14283	227	1111	13922	221	862	--	--	--
													
UpLy-12-10--188	Be-10 (qtz)	14620	234	1205	14375	230	1127	14015	224	875	--	--	--
													
UpLy-12-10--189	Be-10 (qtz)	14222	223	1149	14004	220	1077	13612	214	834	--	--	--
													
UpLy-12-10--190	Be-10 (qtz)	14086	221	1138	13864	218	1066	13475	212	825	--	--	--
													
UpLy-12-10--191	Be-10 (qtz)	14243	228	1175	14019	225	1100	13622	218	851	--	--	--
													
UpLy-12-10--192	Be-10 (qtz)	15256	242	1246	14952	237	1161	14596	231	903	--	--	--
													
UpLy-12-10--193	Be-10 (qtz)	15140	241	1241	14855	236	1158	14487	231	899	--	--	--
													
UpLy-12-10--194	Be-10 (qtz)	14784	237	1218	14528	232	1138	14158	226	883	--	--	--
													
UpLy-12-10--195	Be-10 (qtz)	14670	231	1191	14424	228	1114	14067	222	866	--	--	--
													
UpLy-12-10--196	Be-10 (qtz)	14143	224	1154	13923	221	1080	13531	214	836	--	--	--
													
UpLy-12-10--197	Be-10 (qtz)	15488	249	1281	15144	243	1191	14800	238	927	--	--	--
													
UpLy-12-10--198	Be-10 (qtz)	15069	239	1230	14797	235	1149	14430	229	892	--	--	--
													
UpLy-12-10--199	Be-10 (qtz)	15422	242	1247	15093	237	1161	14765	232	905	--	--	--
													
UpLy-12-10--200	Be-10 (qtz)	14616	231	1187	14374	227	1110	14025	221	863	--	--	--
													
UpLy-12-10--201	Be-10 (qtz)	14732	233	1199	14482	229	1121	14125	223	871	--	--	--
													
UpLy-12-10--202	Be-10 (qtz)	14678	232	1193	14432	228	1115	14073	222	866	--	--	--
													
UpLy-12-10--203	Be-10 (qtz)	14887	236	1217	14628	232	1137	14263	226	883	--	--	--
													
UpLy-12-10--204	Be-10 (qtz)	14638	233	1199	14393	229	1121	14032	223	870	--	--	--
													
UpLy-12-10--205	Be-10 (qtz)	14863	235	1209	14606	231	1130	14238	225	877	--	--	--
													
UpLy-12-10--206	Be-10 (qtz)	15556	251	1293	15203	245	1201	14845	239	934	--	--	--
													
UpLy-12-10--207	Be-10 (qtz)	15186	245	1262	14890	240	1176	14523	234	913	--	--	--
													
UpLy-12-10--208	Be-10 (qtz)	15081	243	1252	14804	239	1168	14434	232	907	--	--	--
													
UpLy-12-10--209	Be-10 (qtz)	15207	245	1263	14908	240	1177	14537	234	914	--	--	--
													
UpLy-12-10--210	Be-10 (qtz)	14756	236	1216	14502	232	1137	14137	226	882	--	--	--
													
UpLy-12-10--211	Be-10 (qtz)	15489	248	1276	15145	242	1186	14805	237	923	--	--	--
													
UpLy-12-10--212	Be-10 (qtz)	14573	229	1178	14334	225	1102	13984	220	857	--	--	--
													
UpLy-12-10--213	Be-10 (qtz)	14299	226	1163	14075	222	1089	13683	216	843	--	--	--
													
UpLy-12-10--214	Be-10 (qtz)	14101	223	1147	13879	219	1074	13485	213	831	--	--	--
													
UpLy-12-10--215	Be-10 (qtz)	15562	246	1268	15213	241	1179	14861	235	917	--	--	--
													
UpLy-12-10--216	Be-10 (qtz)	14861	236	1215	14603	232	1136	14239	226	882	--	--	--
													
UpLy-12-10--217	Be-10 (qtz)	14457	228	1175	14223	224	1099	13856	219	853	--	--	--
													
UpLy-12-10--218	Be-10 (qtz)	15098	241	1241	14820	236	1158	14451	230	899	--	--	--
													
UpLy-12-10--219	Be-10 (qtz)	15194	244	1255	14899	239	1170	14535	233	909	--	--	--
													
UpLy-12-10--220	Be-10 (qtz)	14526	228	1174	14290	224	1099	13936	219	854	--	--	--
													
UpLy-12-10--221	Be-10 (qtz)	15165	249	1281	14870	244	1194	14489	237	926	--	--	--
													
UpLy-12-10--222	Be-10 (qtz)	15511	249	1282	15163	243	1192	14812	238	927	--	--	--
													
UpLy-12-10--223	Be-10 (qtz)	14551	228	1176	14313	225	1101	13967	219	856	--	--	--
													
UpLy-12-10--224	Be-10 (qtz)	15080	245	1259	14803	240	1175	14426	234	912	--	--	--
													
UpLy-12-10--225	Be-10 (qtz)	14898	237	1219	14638	233	1139	14275	227	885	--	--	--
													
UpLy-12-10--226	Be-10 (qtz)	14307	229	1181	14078	226	1105	13684	219	855	--	--	--
													
UpLy-12-10--227	Be-10 (qtz)	14421	229	1179	14187	225	1103	13809	219	855	--	--	--
													
UpLy-12-10--228	Be-10 (qtz)	14313	228	1175	14085	225	1100	13695	218	852	--	--	--
													
UpLy-12-10--229	Be-10 (qtz)	14519	231	1189	14281	227	1112	13926	221	864	--	--	--
													
UpLy-12-10--230	Be-10 (qtz)	14752	237	1219	14497	233	1139	14136	227	885	--	--	--
													
UpLy-12-10--231	Be-10 (qtz)	14349	226	1164	14121	223	1090	13737	216	845	--	--	--
													
UpLy-12-10--232	Be-10 (qtz)	14744	232	1193	14494	228	1116	14137	222	867	--	--	--
													
UpLy-12-10--233	Be-10 (qtz)	14848	233	1202	14593	229	1123	14233	224	873	--	--	--
													
UpLy-12-10--234	Be-10 (qtz)	14789	239	1231	14531	235	1150	14159	229	892	--	--	--
													
UpLy-12-10--235	Be-10 (qtz)	15149	245	1264	14859	241	1178	14489	234	915	--	--	--
													
UpLy-12-10--236	Be-10 (qtz)	15042	242	1245	14773	237	1162	14394	231	902	--	--	--
													
UpLy-12-10--237	Be-10 (qtz)	14744	236	1215	14491	232	1135	14124	226	881	--	--	--
													
UpLy-12-10--238	Be-10 (qtz)	14593	232	1194	14351	228	1117	13996	222	868	--	--	--
													
UpLy-12-10--239	Be-10 (qtz)	14747	232	1195	14497	228	1118	14140	223	868	--	--	--
													
UpLy-12-10--240	Be-10 (qtz)	14661	230	1185	14418	226	1109	14060	221	861	--	--	--
													
UpLy-12-10--241	Be-10 (qtz)	14939	238	1227	14677	234	1146	14311	228	890	--	--	--
													
UpLy-12-10--242	Be-10 (qtz)	15209	248	1279	14907	243	1192	14532	237	924	--	--	--
													
UpLy-12-10--243	Be-10 (qtz)	14853	235	1208	14596	230	1129	14233	225	877	--	--	--
													
UpLy-12-10--244	Be-10 (qtz)	15708	250	1288	15344	244	1196	14968	238	929	--	--	--
													
UpLy-12-10--245	Be-10 (qtz)	15361	246	1265	15038	241	1178	14689	235	916	--	--	--
													
UpLy-12-10--246	Be-10 (qtz)	14864	236	1215	14606	232	1136	14240	226	882	--	--	--
													
UpLy-12-10--247	Be-10 (qtz)	14895	240	1237	14633	236	1155	14262	230	896	--	--	--
													
UpLy-12-10--248	Be-10 (qtz)	14640	235	1210	14393	231	1131	14034	225	878	--	--	--
													
UpLy-12-10--249	Be-10 (qtz)	14487	227	1171	14253	224	1096	13893	218	851	--	--	--
													
UpLy-12-10--250	Be-10 (qtz)	14652	236	1217	14403	232	1137	14037	226	882	--	--	--
													
UpLy-12-10--251	Be-10 (qtz)	14625	230	1182	14384	226	1106	14032	220	860	--	--	--
													
UpLy-12-10--252	Be-10 (qtz)	14468	229	1176	14233	225	1101	13868	219	854	--	--	--
													
