Years_B1950	d18O_IceVolCorrected
44579	-10.842
44604	-10.861
44629	-10.763
44653	-10.807
44677	-10.832
44701	-10.768
44724	-10.773
44747	-10.673
44770	-10.561
44794	-10.558
44816	-10.342
44839	-10.344
44857	-10.227
44905	-10.229
44927	-10.138
44950	-10.152
44971	-10.194
44991	-10.1
45013	-10.216
45034	-10.212
45054	-10.311
45075	-10.384
45095	-10.624
45115	-10.82
45134	-10.914
45154	-10.865
45173	-11.104
45193	-11.213
45212	-11.181
45231	-11.154
45249	-11.115
45268	-11.017
45286	-10.933
45304	-10.94
45322	-10.965
45341	-10.923
45357	-10.9
45375	-11.065
45393	-10.942
45410	-10.938
45426	-10.889
45443	-10.869
45460	-10.802
45477	-10.816
45492	-10.692
45508	-10.75
45525	-10.651
45541	-10.713
45556	-10.58
45571	-10.508
45587	-10.483
45602	-10.408
45617	-10.451
45632	-10.366
45648	-10.472
45661	-10.432
45676	-10.584
45691	-10.605
45704	-10.654
45719	-10.795
45733	-10.677
45747	-10.814
45761	-10.705
45774	-10.697
45787	-10.643
45801	-10.621
45814	-10.431
45827	-10.399
45840	-10.424
45853	-10.541
45866	-10.559
45879	-10.453
45891	-10.475
45903	-10.499
45915	-10.529
45927	-10.519
45940	-10.589
45952	-10.753
45963	-10.781
45975	-10.802
45987	-10.889
45999	-10.812
46010	-10.85
46021	-10.998
46032	-10.862
46044	-10.955
46054	-10.868
46066	-10.818
46076	-10.81
46087	-10.833
46097	-10.769
46108	-10.721
46119	-10.604
46129	-10.498
46139	-10.428
46149	-10.257
46160	-10.22
46169	-10.151
46179	-10.2
46189	-10.052
46198	-10.173
46207	-10.167
46216	-10.167
46225	-10.054
46243	-10.137
46260	-10.567
46269	-10.553
46278	-10.658
46287	-10.799
46295	-10.848
46304	-10.787
46313	-10.603
46321	-10.425
46330	-10.266
46339	-10.122
46348	-10.302
46358	-10.138
46365	-10.044
46374	-10.016
46382	-10.137
46390	-10.178
46398	-10.27
46407	-10.297
46416	-10.168
46424	-10.434
46432	-10.487
46440	-10.589
46448	-10.492
46457	-10.549
46465	-10.564
46473	-10.563
46482	-10.649
46499	-10.679
46507	-10.574
46515	-10.661
46523	-10.689
46531	-10.776
46540	-10.869
46548	-11.039
46556	-11.172
46564	-11.266
46572	-11.388
46580	-11.204
46588	-11.524
46596	-11.496
46604	-11.582
46612	-11.532
46620	-11.548
46629	-11.547
46637	-11.647
46645	-11.608
46653	-11.632
46661	-11.691
46669	-11.581
46677	-11.699
46686	-11.514
46694	-11.441
46702	-11.514
46710	-11.491
46719	-11.428
46727	-11.571
46736	-11.572
46744	-11.578
46753	-11.554
46761	-11.491
46770	-11.489
46778	-11.312
46787	-11.234
46796	-11.291
46832	-11.154
46842	-11.144
46851	-11.232
46861	-11.209
46870	-11.123
46880	-11.222
46889	-11.243
46899	-11.353
46909	-11.355
46919	-11.384
46928	-11.506
46939	-11.551
46948	-11.687
46958	-11.716
46969	-11.751
46979	-11.75
46989	-11.749
47000	-11.719
47010	-11.674
47020	-11.701
47031	-11.757
47042	-11.702
47052	-11.622
47063	-11.668
47073	-11.731
47084	-11.836
47095	-11.78
47105	-11.818
47116	-11.873
47127	-11.786
47137	-11.854
47148	-12.077
47159	-12.078
47169	-12.067
47180	-12.053
47191	-11.998
47213	-11.321
47224	-11.33
47236	-11.427
47248	-11.337
47260	-11.499
47296	-11.393
47333	-11.323
47361	-11.547
47388	-11.806
47402	-11.776
47417	-11.417
47432	-11.296
47447	-11.311
47462	-11.245
47478	-11.309
47494	-11.324
47510	-11.323
47544	-11.192
47561	-11.215
47579	-11.18
47598	-11.157
47615	-11.404
47634	-11.509
47654	-11.222
47673	-11.163
47693	-11.384
47712	-11.249
47733	-11.274
47776	-11.257
47798	-11.235
47842	-10.764
47865	-10.699
47889	-10.652
47912	-10.736
47936	-10.72
47961	-10.642
47986	-10.708
48012	-10.685
48036	-10.731
48064	-10.784
48090	-10.713
48117	-10.692
48145	-10.785
48173	-10.831
48201	-10.8
48230	-10.766
48260	-10.638
48288	-10.646
48319	-10.528
48349	-10.663
48411	-10.68
48441	-10.898
48473	-10.9
48505	-11.055
48537	-11.01
48571	-10.984
48637	-10.901
48670	-10.946
48705	-11.014
48737	-11.041
48772	-10.927
48806	-11.025
48841	-10.978
48876	-11.031
48910	-11.156
48945	-11.046
48981	-11.05
49016	-11.002
49052	-11.038
49087	-11.041
49122	-11.179
49158	-11.236
49193	-11.135
49228	-10.901
49264	-10.919
49299	-10.881
49334	-10.768
49369	-10.728
49403	-10.706
49439	-10.693
49473	-10.771
49507	-10.715
49542	-10.725
49576	-10.804
49610	-10.858
49644	-10.964
49677	-10.96
49711	-10.871
49744	-10.694
49777	-10.527
49810	-10.5
49843	-10.333
49874	-10.279
49907	-10.261
49937	-10.295
49969	-10.259
50001	-10.181
50035	-10.165
50063	-10.139
50094	-10.153
50124	-10.348
50154	-10.41
50184	-10.387
50214	-10.263
50244	-10.096
50273	-10.032
50301	-9.975
50330	-10.02
50358	-10.189
50386	-10.177
50415	-10.242
50441	-10.11
50469	-10.016
50497	-9.995
50579	-9.886
50604	-9.893
50631	-9.862
50657	-9.87
50682	-9.857
50708	-9.733
50733	-9.862
50758	-9.728
50783	-9.92
50807	-9.973
50832	-9.891
50856	-9.69
50880	-9.618
50904	-9.41
50927	-9.281
50951	-9.2
50973	-9.189
50996	-9.204
51018	-9.303
51040	-9.501
51062	-9.624
51084	-9.686
51105	-9.618
51126	-9.682
51146	-9.482
51167	-9.566
51187	-9.557
51207	-9.599
51227	-9.614
51247	-9.767
51266	-9.943
51285	-10.144
51302	-10.193
51321	-10.192
51339	-10.137
51356	-10.018
51374	-9.887
51390	-9.711
51407	-9.646
51423	-9.494
51439	-9.41
51454	-9.413
51469	-9.272
51484	-9.391
51499	-9.426
51514	-9.351
51527	-9.348
51542	-9.365
51555	-9.326
51569	-9.432
51582	-9.45
51594	-9.564
51607	-9.458
51620	-9.453
51633	-9.318
51645	-9.226
51657	-9.071
51670	-8.904
51682	-8.925
51695	-8.765
51706	-8.748
51719	-8.801
51731	-8.75
51755	-8.903
51766	-8.891
51779	-8.976
51791	-9.033
51804	-9.07
51816	-9.111
51828	-9.171
51841	-9.253
51854	-9.247
51866	-9.252
51879	-9.192
51892	-9.108
51906	-9.035
51918	-8.893
51932	-8.778
51945	-8.817
51959	-8.732
51973	-8.925
51986	-9.04
52000	-9.06
52014	-9.092
52028	-8.892
52042	-8.917
52057	-8.934
52071	-8.94
52085	-8.893
52100	-8.85
52114	-8.821
52129	-8.815
52143	-8.917
52158	-8.864
52173	-8.859
52188	-9.269
52203	-9.077
52218	-8.77
52233	-8.784
52248	-8.8
52264	-9.044
52278	-8.935
52294	-8.86
52309	-8.837
52324	-8.88
52340	-8.614
52355	-9.061
52371	-9.242
52387	-9.2
52403	-9.268
52417	-9.373
52432	-9.36
52448	-9.367
52465	-9.285
52481	-9.296
52496	-9.405
52512	-9.442
52528	-9.37
52543	-9.275
52559	-9.261
52574	-9.219
52591	-9.159
52607	-9.241
52623	-9.331
52638	-9.467
52670	-9.531
52685	-9.517
52701	-9.44
52717	-9.342
52733	-9.199
52749	-9.153
52765	-9.156
52780	-9.156
52796	-9.132
52812	-9.101
52828	-9.064
52844	-9.094
52860	-9.023
52875	-9.177
52891	-9.339
52907	-9.588
52923	-9.934
52939	-10.277
52955	-10.543
52970	-10.632
52986	-10.722
53002	-10.763
53018	-10.764
53034	-10.77
53050	-10.685
53065	-10.674
53081	-10.559
53097	-10.529
53113	-10.419
53129	-10.431
53145	-10.347
53176	-10.282
53192	-10.219
53224	-10.125
53240	-10.168
53255	-10.199
53287	-10.39
53303	-10.444
53319	-10.479
53335	-10.61
