Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1983-02-12	1983	2	35	_		_
1983-02-13	1983	2	35.6	_		_
1983-02-14	1983	2	35.6	_		_
1983-02-15	1983	2	36	_		_
1983-02-16	1983	2	36.1	_		_
1983-02-17	1983	2	36.1	_		_
1983-02-18	1983	2	36.2	_		_
1983-02-19	1983	2	36.8	_		_
1983-02-20	1983	2	37	_		_
1983-02-21	1983	2	36.9	_		_
1983-02-22	1983	2	36.9	_		_
1983-02-23	1983	2	36.8	_		_
1983-02-24	1983	2	36.6	_		_
1983-02-25	1983	2	36.6	_		_
1983-02-26	1983	2	37.4	_		_
1983-02-27	1983	2	38.8	_		_
1983-02-28	1983	2	40	_		_
1983-03-01	1983	3	41.2	_		_
1983-03-02	1983	3	42.5	_		_
1983-03-03	1983	3	43.7	_		_
1983-03-04	1983	3	43.9	_		_
1983-03-05	1983	3	44.1	_		_
1983-03-06	1983	3	44.3	_		_
1983-03-07	1983	3	44.5	_		_
1983-03-08	1983	3	44.6	_		_
1983-03-09	1983	3	44.7	_		_
1983-03-10	1983	3	44.7	_		_
1983-03-11	1983	3	44.7	_		_
1983-03-12	1983	3	44.7	_		_
1983-03-13	1983	3	45.1	_		_
1983-03-14	1983	3	45.9	_		_
1983-03-15	1983	3	44.5	_		_
1983-03-16	1983	3	44.7	_		_
1983-03-17	1983	3	44.9	_		_
1983-03-18	1983	3	46.3	_		_
1983-03-19	1983	3	47.3	_		_
1983-03-20	1983	3	47.4	_		_
1983-03-21	1983	3	47.8	_		_
1983-03-22	1983	3	48.4	_		_
1983-03-23	1983	3	49.4	_		_
1983-03-24	1983	3	50.4	_		_
1983-03-25	1983	3	51.4	_		_
1983-03-26	1983	3	51.4	_		_
1983-03-27	1983	3	51.8	_		_
1983-03-28	1983	3	52.6	_		_
1983-03-29	1983	3	52.6	_		_
1983-03-30	1983	3	52.2	_		_
1983-03-31	1983	3	52.2	_		_
1983-04-01	1983	4	52.2	_		_
1983-04-02	1983	4	52.2	_		_
1983-04-03	1983	4	52.2	_		_
1983-04-04	1983	4	52.2	_		_
1983-04-05	1983	4	52.2	_		_
1983-04-06	1983	4	52.2	_		_
1983-04-07	1983	4	52.2	_		_
1983-04-08	1983	4	52.2	_		_
1983-04-09	1983	4	52.2	_		_
1983-04-10	1983	4	52.2	_		_
1983-04-11	1983	4	52.2	_		_
1983-04-12	1983	4	52.2	_		_
1983-04-13	1983	4	52.8	_		_
1983-04-14	1983	4	53	_		_
1983-04-15	1983	4	52.9	_		_
1983-04-16	1983	4	52.8	_		_
1983-04-17	1983	4	52.5	_		_
1983-04-18	1983	4	52.3	_		_
1983-04-19	1983	4	52	_		_
1983-04-20	1983	4	51.9	_		_
1983-04-21	1983	4	51.9	_		_
1983-04-22	1983	4	51.8	_		_
1983-04-23	1983	4	51.8	_		_
1983-04-24	1983	4	51.8	_		_
1983-04-25	1983	4	51.8	_		_
1983-04-26	1983	4	52.8	_		_
1983-04-27	1983	4	53.2	_		_
1983-04-28	1983	4	53.6	_		_
1983-04-29	1983	4	53.9	_		_
1983-04-30	1983	4	54.1	_		_
1983-05-01	1983	5	55.1	_		_
1983-05-02	1983	5	55.5	_		_
1983-05-03	1983	5	55.3	_		_
1983-05-04	1983	5	54.9	_		_
1983-05-05	1983	5	54.5	_		_
1983-05-06	1983	5	54.5	_		_
1983-05-07	1983	5	54.5	_		_
1983-05-08	1983	5	54.7	_		_
1983-05-09	1983	5	54.1	_		_
1983-05-10	1983	5	53	_		_
1983-05-11	1983	5	52	_		_
1983-05-12	1983	5	51.6	_		_
1983-05-13	1983	5	51.4	_		_
1983-05-14	1983	5	51	_		_
1983-05-15	1983	5	50.6	_		_
1983-05-16	1983	5	50.2	_		_
1983-05-17	1983	5	49	_		_
1983-05-18	1983	5	48	_		_
1983-05-19	1983	5	46.9	_		_
1983-05-20	1983	5	45.7	_		_
1983-05-21	1983	5	44.1	_		_
1983-05-22	1983	5	42.1	_		_
1983-05-23	1983	5	40.6	_		_
1983-05-24	1983	5	38.6	_		_
1983-05-25	1983	5	37.2	_		_
1983-05-26	1983	5	35.2	_		_
1983-05-27	1983	5	33.7	_		_
1983-05-28	1983	5	32.1	_		_
1983-05-29	1983	5	30.3	_		_
1983-05-30	1983	5	28.7	_		_
1983-05-31	1983	5	26.8	_		_
1983-06-01	1983	6	25.2	_		_
1983-06-02	1983	6	24	_		_
1983-06-03	1983	6	22.3	_		_
1983-06-04	1983	6	20.9	_		_
1983-06-05	1983	6	19.5	_		_
1983-06-06	1983	6	17.1	_		_
1983-06-07	1983	6	15	_		_
1983-06-08	1983	6	13.6	_		_
1983-06-09	1983	6	11.2	_		_
1983-06-10	1983	6	8.9	_		_
1983-06-11	1983	6	5.7	_		_
1983-06-12	1983	6	3.2	_		_
1983-06-13	1983	6	1.6	_		_
1983-06-14	1983	6	1.2	_		_
1983-06-15	1983	6	0.8	_		_
1983-06-16	1983	6	0.6	_		_
1983-06-17	1983	6	0.4	_		_
1983-06-18	1983	6	0.2	_		_
1983-06-19	1983	6	0	_		_
1983-06-20	1983	6	0	_		_
1983-06-21	1983	6	0	_		_
1983-06-22	1983	6	0	_		_
1983-06-23	1983	6	0	_		_
1983-06-24	1983	6	0	_		_
1983-06-25	1983	6	0	_		_
1983-06-26	1983	6	0	_		_
1983-06-27	1983	6	0	_		_
1983-06-28	1983	6	0	_		_
1983-06-29	1983	6	0	_		_
1983-06-30	1983	6	0	_		_
1983-07-01	1983	7	0	_		_
1983-07-02	1983	7	0	_		_
1983-07-03	1983	7	0	_		_
1983-07-04	1983	7	0	_		_
