Depth_mm	d18O	Years_B1950
163.7	-6.26	16225
163.9	-6.36	16234
164.1	-6.23	16242
164.4	-6.26	16252
164.7	-6.25	16263
165.0	-6.30	16275
165.4	-6.22	16287
165.6	-5.89	16303
165.8	-6.18	16311
166.0	-6.15	16319
166.1	-6.04	16328
166.3	-5.79	16332
166.6	-5.78	16341
166.8	-5.69	16350
167.0	-5.72	16359
167.2	-5.86	16368
167.4	-5.77	16376
167.5	-5.90	16383
167.7	-6.23	16391
167.9	-6.16	16398
168.1	-6.61	16406
168.3	-7.00	16411
168.5	-7.06	16419
168.7	-7.16	16428
168.9	-6.97	16436
169.1	-6.85	16444
169.3	-6.72	16452
169.5	-6.91	16460
169.7	-6.38	16469
169.9	-6.03	16477
170.1	-5.94	16485
170.3	-6.00	16493
170.5	-6.53	16501
170.7	-6.58	16509
170.9	-6.61	16518
171.1	-6.54	16526
171.3	-6.65	16534
171.5	-6.54	16542
171.7	-6.58	16550
171.9	-6.60	16558
172.1	-6.44	16567
172.3	-5.76	16622
172.5	-5.56	16625
172.7	-5.77	16628
172.9	-5.61	16631
173.1	-5.66	16634
173.3	-5.70	16637
173.5	-5.91	16640
173.7	-5.89	16642
173.9	-6.15	16645
174.1	-5.84	16648
174.3	-5.85	16651
174.5	-5.85	16654
174.7	-5.81	16657
174.9	-6.06	16660
175.1	-6.07	16663
175.3	-5.75	16665
175.5	-5.48	16668
175.7	-5.67	16671
175.9	-5.72	16674
176.1	-5.78	16677
176.3	-6.05	16680
176.5	-5.99	16683
176.7	-5.80	16686
176.9	-5.50	16690
177.0	-5.71	16700
177.2	-5.72	16709
177.4	-6.18	16719
177.6	-6.34	16729
177.8	-6.57	16739
178.0	-6.83	16748
178.2	-6.80	16758
178.4	-6.70	16768
178.6	-6.11	16778
178.8	-5.89	16787
179.0	-5.51	16797
179.2	-5.49	16807
179.4	-5.52	16816
179.6	-5.51	16826
179.8	-5.54	16836
180.0	-5.63	16846
180.2	-5.72	16855
180.4	-5.85	16865
180.6	-5.86	16875
180.8	-5.74	16884
181.0	-5.80	16894
181.2	-5.65	16904
181.4	-5.77	16914
181.6	-5.78	16923
181.8	-5.82	16933
182.0	-5.76	16943
182.1	-5.80	16951
182.2	-5.70	16956
182.3	-5.75	16961
182.4	-5.96	16966
182.5	-5.93	16971
182.6	-5.96	16976
182.7	-5.83	16980
182.8	-5.87	16985
182.9	-5.97	16990
183.1	-5.84	16995
183.3	-5.93	17001
183.5	-5.89	17011
183.7	-6.06	17021
183.9	-6.18	17030
184.1	-6.22	17040
184.3	-6.10	17050
184.5	-5.90	17052
184.7	-5.57	17053
184.9	-5.36	17054
185.1	-5.41	17055
185.3	-5.89	17056
185.5	-5.90	17057
185.7	-5.74	17057
185.9	-6.07	17058
186.1	-6.24	17059
186.3	-6.28	17060
186.5	-6.13	17061
186.7	-6.26	17062
186.9	-6.31	17063
187.1	-6.49	17064
187.3	-6.45	17065
187.5	-6.27	17066
187.7	-6.42	17067
187.9	-6.36	17068
188.1	-6.59	17069
188.3	-6.38	17070
188.5	-6.40	17071
188.7	-6.66	17071
188.9	-6.60	17072
189.1	-6.70	17073
189.3	-6.76	17074
189.5	-6.40	17075
189.7	-6.16	17082
189.9	-6.39	17091
190.1	-6.74	17100
190.3	-7.08	17109
190.5	-7.52	17118
190.7	-7.62	17127
190.9	-7.59	17136
191.1	-7.55	17145
191.3	-7.18	17154
191.5	-7.08	17163
191.7	-7.38	17172
191.9	-7.38	17181
192.0	-6.99	17190
192.2	-6.86	17199
192.4	-6.87	17208
192.6	-6.77	17217
192.8	-6.68	17226
193.0	-6.58	17235
193.2	-6.46	17244
193.4	-6.42	17253
193.6	-6.30	17262
193.8	-6.31	17271
194.0	-6.47	17280
194.2	-6.73	17289
194.4	-7.46	17298
194.6	-7.70	17307
194.8	-7.45	17316
195.0	-7.14	17325
195.2	-6.74	17333
195.4	-6.80	17342
195.6	-6.91	17351
195.8	-6.81	17360
196.0	-6.88	17369
196.2	-6.90	17378
196.4	-6.92	17387
196.6	-6.70	17396
196.8	-6.52	17405
197.0	-6.47	17414
197.2	-6.43	17423
197.4	-6.43	17432
197.6	-6.52	17441
197.8	-6.52	17450
198.0	-6.12	17459
198.2	-6.20	17468
198.4	-6.13	17477
198.6	-6.17	17486
198.8	-6.13	17495
199.0	-6.16	17504
199.2	-6.00	17513
199.4	-5.92	17522
199.6	-5.82	17531
199.8	-5.83	17540
200.0	-5.78	17549
200.2	-5.79	17558
200.4	-5.90	17567
200.6	-6.01	17576
200.8	-5.98	17585
201.0	-6.14	17594
201.2	-6.16	17603
201.4	-6.10	17612
201.6	-6.17	17621
201.8	-6.06	17630
202.0	-6.13	17638
202.2	-6.19	17652
202.4	-6.19	17667
202.6	-6.86	17681
202.8	-7.20	17696
203.0	-7.27	17710
203.2	-7.07	17725
203.4	-7.48	17740
203.6	-7.86	17754
203.8	-7.74	17769
204.0	-7.17	17783
204.2	-6.62	17798
204.4	-6.60	17812
204.6	-7.06	17827
204.8	-6.84	17841
205.0	-6.76	17856
205.2	-6.25	17871
205.4	-6.44	17885
205.6	-6.72	17900
205.8	-6.99	17914
206.0	-6.36	17929
206.2	-6.38	17943
206.4	-6.51	17958
206.6	-6.73	17972
206.8	-7.25	17987
207.0	-7.53	18002
207.2	-7.78	18016
207.4	-7.54	18031
207.6	-7.29	18045
207.8	-7.23	18060
208.0	-7.04	18074
208.2	-7.19	18089
208.4	-7.24	18103
208.6	-6.74	18118
208.8	-7.22	18133
209.0	-7.42	18147
209.2	-6.58	18162
209.4	-6.48	18176
209.6	-6.67	18191
209.8	-6.87	18205
210.0	-6.91	18220
210.2	-7.05	18235
210.4	-7.05	18249
210.6	-6.72	18264
210.8	-6.55	18289
211.0	-6.64	18295
211.2	-6.57	18301
211.4	-6.71	18307
211.6	-6.50	18312
211.8	-6.59	18318
212.0	-6.79	18324
212.2	-6.77	18330
212.4	-6.74	18336
212.6	-6.54	18342
212.8	-6.52	18347
213.0	-6.48	18353
213.2	-6.45	18359
213.4	-6.65	18365
213.6	-6.78	18371
213.8	-6.77	18377
214.0	-6.62	18383
214.2	-6.76	18388
214.4	-6.96	18394
214.6	-7.05	18400
214.8	-7.14	18406
215.0	-7.34	18412
215.2	-7.06	18418
215.4	-7.16	18424
215.6	-6.99	18429
215.8	-6.72	18435
216.0	-6.77	18441
216.2	-7.06	18447
216.4	-7.21	18453
216.6	-7.44	18459
216.8	-7.32	18464
217.1	-7.39	18470
217.3	-7.26	18478
217.5	-6.85	18483
217.7	-6.38	18489
217.9	-6.44	18495
218.1	-6.37	18501
218.3	-6.76	18505
218.5	-6.79	18511
218.7	-6.76	18517
218.9	-6.94	18523
219.1	-7.09	18529
219.3	-7.13	18535
219.5	-7.17	18541
219.7	-7.21	18546
219.9	-7.15	18552
220.1	-7.29	18558
220.3	-7.13	18564
220.5	-7.04	18570
220.7	-7.08	18576
220.9	-6.93	18581
221.1	-6.78	18587
221.3	-6.81	18593
221.5	-6.76	18599
221.7	-6.77	18605
221.9	-6.73	18611
222.1	-6.66	18617
222.3	-6.54	18622
222.5	-6.66	18628
222.7	-6.79	18634
222.9	-6.82	18640
223.1	-7.22	18646
223.3	-7.47	18652
223.5	-7.33	18658
223.7	-7.37	18663
223.9	-7.28	18669
224.1	-7.05	18675
224.3	-7.43	18681
224.5	-6.87	18687
224.7	-7.45	18693
224.9	-7.83	18698
225.1	-7.50	18704
225.3	-7.55	18710
225.5	-7.78	18716
225.7	-7.55	18722
225.9	-7.40	18728
226.1	-7.02	18734
226.3	-6.87	18739
226.5	-7.08	18745
226.7	-7.21	18751
226.9	-7.00	18757
227.0	-6.91	18763
227.2	-6.85	18769
227.4	-6.91	18775
227.6	-6.69	18780
227.8	-7.06	18786
228.0	-7.33	18792
228.2	-7.70	18798
228.4	-7.65	18804
228.6	-7.80	18810
228.8	-8.04	18815
229.0	-8.44	18821
229.2	-8.72	18827
229.4	-8.37	18833
229.6	-8.22	18839
229.8	-7.88	18845
230.0	-7.75	18833
230.2	-7.59	18833
230.4	-7.71	18834
230.6	-7.54	18834
230.8	-7.31	18834
231.0	-7.44	18835
231.2	-7.51	18835
