Years_B2008	d18O_VPDB
42238	-8.229
42298	-8.58
42359	-9.014
42420	-9.99
42481	-10.998
42541	-11.067
42602	-11.262
42662	-11.311
42722	-11.128
42782	-10.966
42842	-10.742
42901	-10.908
42960	-11.011
43019	-10.898
43078	-10.319
43136	-9.69
43194	-9.652
43252	-9.256
43309	-9.154
43366	-8.945
43422	-8.957
43478	
43533	
43588	-8.845
43643	-8.533
43696	-8.352
43749	-8.51
43802	-8.637
43854	-8.619
43905	-8.339
43955	-8.365
44005	-8.527
44053	-8.3
44101	-8.154
44149	-7.88
44166	-7.639
44171	-7.652
44176	-7.815
44181	-7.672
44186	-7.68
44191	-7.597
44196	-7.52
44201	-7.575
44206	-8.091
44213	-8.601
44224	-8.872
44236	-9.143
44251	-9.471
44268	-9.927
44287	-10.237
44308	-10.583
44332	-10.996
44357	-10.756
44385	-10.998
44414	-10.678
44445	-10.6
44477	-10.582
44512	-10.338
44548	-10.405
44586	-10.079
44625	-10.681
44665	-10.171
44707	-9.911
44750	-10.009
44795	-9.663
44841	-9.471
44888	-9.523
44936	-9.193
44985	-9.143
45035	-8.99
45087	-8.857
45139	-8.497
45192	-8.721
45246	-8.656
45300	-9.036
45355	-9.268
45411	-9.138
45468	-8.956
45525	-8.78
45583	
45641	-8.869
45700	-8.694
45759	
45819	-8.669
45879	-8.782
45939	-8.827
45999	-8.491
46060	-8.068
46121	-8.402
46182	-8.185
46243	-8.245
46304	-7.885
46365	-8.129
46426	-8.193
46488	-8.226
46549	-7.881
46610	-7.555
46671	-7.938
46731	-7.955
46792	-7.773
46852	-7.647
46913	-8.186
46972	-7.69
47032	-7.894
47091	-7.689
47150	-8.018
47209	-7.984
47267	-8.287
47324	-8.091
47382	-8.258
47438	-8.459
47495	-8.333
47551	-8.206
47606	-8.023
47661	-7.88
47715	-8.426
47768	-7.784
47821	-7.751
47874	-7.876
47925	-7.806
47976	-7.851
48027	-7.802
48077	-7.338
48126	-7.502
48174	-7.673
48222	-7.559
48269	-8.185
48315	-8.917
48360	-9.384
48405	-9.93
48449	-10.266
48492	-10.239
48535	-10.429
48576	-10.377
48617	-10.307
48657	-10.346
48697	-10.434
48735	-10.515
48773	-10.431
48810	-10.605
48846	-10.596
48881	-10.719
48916	-10.535
48950	-10.398
48983	-10.403
49015	-10.299
49046	-10.286
49077	-10.202
49107	-10.298
49136	-10.294
49164	-10.055
49192	-9.912
49219	-9.884
49245	-9.71
49270	-9.621
49295	-9.612
49319	-9.593
49342	-9.548
49365	-9.247
49387	-9.134
49408	
49429	-8.884
49449	-8.881
49468	-8.708
49487	-8.555
49505	-8.451
49523	-8.531
49540	-8.514
49557	
49573	
49588	-8.569
49604	-8.679
49618	-8.524
49633	-8.486
49647	-8.278
49660	-8.241
49673	-7.899
49686	-7.693
49699	-7.358
49711	-7.225
49724	
49736	-7.381
49747	-7.541
49759	-7.345
49770	-7.306
49782	-7.237
49793	-7.1
49805	-7.068
49816	-7.214
49828	-7.201
49839	-6.941
49851	-7.429
49863	-7.701
49875	-7.55
49887	-7.536
49899	-7.461
49912	-7.517
49925	-7.347
49939	-7.49
49953	-7.645
49968	-7.833
49983	-8.153
49998	-8.344
50014	-8.255
50031	-8.777
50049	-8.803
50067	-8.762
50086	-8.889
50106	-8.788
50127	-8.553
50149	-8.498
50172	-8.305
50196	-8.153
50220	-7.922
50246	
50274	-7.866
50302	-7.663
50332	-7.574
50363	-7.476
50396	-7.502
50430	-7.515
50465	-7.62
50503	
50541	-7.541
50582	-7.723
50624	-7.529
50668	-7.679
50714	-7.82
50762	-7.981
50812	-8.006
50864	-8.019
50919	-8.053
50975	-8.059
51034	-7.923
51095	-7.859
51158	-7.688
51224	-7.858
51292	
51364	-7.83
51437	-7.841
51514	-7.873
51593	-7.553
51675	-7.409
51760	-7.497
51849	-7.615
51853	-7.558
51909	-7.793
51964	-7.955
52019	-8.065
52075	-8.073
52130	-7.825
52186	-7.869
52242	-7.876
52298	-7.849
52354	-7.741
52410	-7.623
52466	-7.553
52523	-7.541
52579	-7.333
52635	-7.352
52691	-7.431
52748	-7.549
52804	-7.378
52860	-7.401
52917	-7.427
52973	-7.523
53029	-7.567
53085	-7.456
53142	-7.539
53198	-7.432
53254	-7.411
53310	-7.487
53365	-7.335
53421	-7.353
53476	-7.124
53532	-7.112
53587	-7.027
53642	-6.946
53697	-6.744
53751	-6.637
53806	-6.688
53860	-6.635
53914	-6.734
53967	-6.664
54021	-6.746
54074	-6.768
54126	-6.876
54179	-6.774
54231	-6.414
54283	-6.452
54334	-6.621
54385	-6.802
54435	-6.843
54485	-6.92
54535	-6.819
54584	-6.706
54633	-6.88
54681	-6.671
54729	-6.599
54776	-6.592
54823	-6.589
54869	-6.634
54914	-6.753
54959	-7.097
55003	-7.061
55047	-7.683
55090	-7.801
55132	-8.477
55174	-8.603
55214	-9.094
55255	-9.258
55294	-9.064
55332	-9.036
55370	-9.038
55407	-9.011
55443	-8.833
55478	-8.855
55512	-8.609
55546	-8.647
55578	-8.361
55609	-8.508
55640	-8.589
55669	-8.822
55698	-8.419
55725	-8.455
55751	-8.197
55777	-8.072
55801	-8.159
55823	-7.972
55845	-7.703
55866	-7.973
55885	-8.032
55903	-8.127
