Sample_Name	PercentSnow	UncertType	Calculator	ProdRate	ScalingModel	Atmosphere	MagField	Age	Uncert	Location	Outlier	WMean	SpG	MSWD	P_MSWD	WMean_SD	Boulder_Height_m	LocationOrder	Elevation_m
TM14-05	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	12972	852	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	0.82	11	2740
TM14-06	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13893	900	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	1.3	12	2744
TM14-07	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15632	1007	TM-LC	FALSE	15632	1			1007	1.2	14	2709
TM14-11	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13035	854	PD	FALSE	14078	2	21.5995031892972	3.35938839126188e-06	2979	0.65	20	2672.7
TM14-12	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15195	970	PD	FALSE	14078	2	21.5995031892972	3.35938839126188e-06	2979	1.43	21	2679.8
TM14-13	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	21057	1392	PD	TRUE	14078					0.65	22	2678.9
TM14-15	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14366	892	LM	FALSE	14366	1			892	0.87	24	2638.5
TM14-16	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	12902	824	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	1700	0.98	16	2854.4
TM14-17	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14046	878	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	1700	0.8	17	2853.5
TM14-18	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14834	924	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	1700	1.55	18	2858.6
UpLy-12-10	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13086	850	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	1420	0.85	3	3400
C2-Boulder1	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15133	976	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	595	1.8	1	3409
C2-Boulder2	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15371	1054	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	595	0.75	2	3417
LoLy-11-08	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14465	972	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	2.5	7	2742
TM14-01	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15796	1044	MLC	FALSE	15796	1			1044	0.46	5	2955
TM14-02	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14417	939	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	1.1	8	2751
TM14-03	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14710	944	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	2.5	9	2740
TM14-04	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14280	925	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	0.8	10	2743
