Speleothem	Years_B1950	d18O
SCH02	25136	-7.4
SCH02	25277	-7.51
SCH02	25418	-7.51
SCH02	25559	-7.79
SCH02	25674	-7.81
SCH02	25777	-8.03
SCH02	25880	-7.86
SCH02	25983	-8.03
SCH02	26086	-8.27
SCH02	26150	-8.19
SCH02	26174	-8.02
SCH02	26199	-8.03
SCH02	26248	-7.98
SCH02	26273	-7.98
SCH02	26297	-8.27
SCH02	26322	-8.2
SCH02	26347	-7.71
SCH02	26371	-7.87
SCH02	26396	-8.01
SCH02	26420	-7.89
SCH02	26420	-7.89
