depth_mm	Years_B1950	McLean.d13C	McLean.d18O
116.46	14628.4	-6.31	-8.06
116.74	14636.7	-6.79	-8.53
117.02	14645	-7.43	-8.8
117.3	14653.4	-7.87	-9.36
117.56	14661.3	-8.36	-9.05
117.82	14669.3	-7.28	-8.45
118.08	14677.4	-7.55	-8.8
118.34	14685.5	-7.37	-8.66
118.6	14693.8	-7.07	-8.41
118.86	14702.1	-7.33	-8.44
119.12	14710.6	-7.53	-8.41
119.38	14719.1	-7.75	-8.74
119.64	14727.8	-8.49	-8.64
119.9	14736.6	-8.39	-8.48
120.18	14746.1	-7.24	-8.23
120.46	14755.8	-6.11	-7.88
120.74	14765.7	-5.68	-7.57
121.02	14775.7	-6.61	-7.55
121.3	14785.8	-7.49	-7.89
121.58	14796.1	-7.66	-8.46
122.14	14817.2	-7	-8.36
122.7	14838.9	-7.57	-8.24
122.96	14849.3	-7.89	-8.48
123.22	14859.7	-8.06	-8.78
123.48	14870.4	-7.44	-8.32
123.74	14881.2	-6.95	-8.28
124	14892.2	-7.01	-8.24
124.28	14904.2	-7.48	-8.57
124.56	14916.4	-8.05	-8.83
125.12	14941.4	-7.77	-8.01
125.4	14954.2	-6.93	-7.77
125.68	14967.3	-6.21	-7.64
125.96	14980.6	-5.93	-8.13
126.24	14994.1	-6.44	-8.41
126.52	15007.8	-6.45	-8.15
126.8	15021.8	-6.23	-8.13
127.06	15035	-6.07	-7.92
127.58	15062	-6.39	-7.92
127.84	15075.8	-6.58	-8.02
128.1	15089.9	-7.37	-8.14
128.36	15104.1	-7.75	-8.33
128.62	15118.6	-7.93	-8.72
128.88	15133.4	-8.33	-8.54
129.14	15148.3	-8.63	-8.78
129.96	15197.1	-8.46	-8.68
130.24	15214.4	-7.79	-8.1
130.52	15231.9	-6.07	-7.67
130.8	15249.7	-8.01	-7.47
131.04	15265.2	-8.53	-8.55
131.28	15281	-7.86	-8.26
131.52	15296.9	-7.63	-8.55
131.76	15313.1	-7.23	-8.8
132	15329.6	-7.05	-7.91
132.28	15349	-6.63	-8.57
132.56	15368.8	-6.87	-8.34
132.84	15388.9	-7.23	-8.13
133.12	15409.3	-7.29	-8.16
133.4	15429.9	-7.4	-8.4
133.7	15452.4	-8.17	-8.97
134	15475.2	-7.73	-8.5
134.3	15498.2	-8.08	-8.21
134.6	15521.5	-8	-7.96
134.9	15545.1	-8.94	-8.33
135.2	15569	-8.26	-7.82
135.5	15593	-8.05	-8.79
135.8	15617.3	-7.99	-8.94
136.2	15650.1	-8.37	-8.73
136.5	15674.9	-8.34	-8.91
136.74	15694.8	-8.64	-8.98
136.98	15714.9	-8.88	-8.78
137.22	15735.1	-8.87	-8.27
137.46	15755.4	-8.93	-7.98
137.7	15775.7	-9.1	-8.33
137.94	15796.2	-9.5	-8.59
138.18	15816.7	-9.88	-9.18
138.42	15837.3	-9.72	-9.64
138.66	15858	-9.28	-9.12
138.92	15880.5	-8.99	-8.71
139.18	15903	-8.97	-8.97
139.44	15925.5	-8.42	-8.57
139.7	15948.2	-7.66	-8.36
139.96	15970.8	-6.95	-8.11
140.22	15993.5	-7.06	-8.04
140.74	16038.9	-6.72	-8.1
141	16061.6	-6.92	-7.92
141.26	16084.4	-6.74	-7.69
141.52	16107.1	-6.67	-8.06
141.78	16129.7	-6.54	-8.21
142.3	16175	-5.86	-8.43
142.56	16197.6	-5.75	-8.25
142.82	16220.1	-5.87	-8.09
143.08	16242.5	-5.45	-7.53
143.34	16264.9	-5.29	-7.4
143.77	16301.7	-6.27	-8.09
144.3	16346.8	-5.86	-8.07
144.58	16370.4	-6.26	-8.1
145.14	16417.2	-5.84	-8.08
145.42	16440.3	-5.6	-8.09
145.96	16484.5	-5.85	-7.74
146.22	16505.6	-5.82	-7.9
146.74	16547.1	-7.25	-8.51
147	16567.6	-7.18	-8.91
147.52	16608	-7.4	-8.69
147.78	16627.9	-7.94	-8.78
148.3	16667	-6.89	-8.09
148.58	16687.6	-6.75	-8.77
149.14	16728.1	-6.07	-7.92
149.42	16747.8	-5.56	-8.32
149.96	16785.1	-6.79	-8.2
150.22	16802.5	-5.67	-7.91
150.74	16836.6	-6.96	-8.33
151	16853.2	-7.15	-8.67
151.56	16887.7	-7.54	-8.61
151.84	16904.4	-8.03	-8.69
152.4	16936.6	-7.58	-9.02
152.66	16950.9	-7.84	-9.17
153.18	16978.6	-7.66	-9.13
153.44	16992	-7.34	-8.9
153.98	17018.7	-5.22	-7.96
154.26	17032	-3.99	-7.44
154.82	17057.5	-3.9	-7.62
155.1	17069.7	-5.77	-7.94
155.62	17091.6	-5.16	-7.94
155.88	17102.1	-5.37	-8.06
156.4	17122.3	-7.21	-9.69
156.68	17132.8	-6.86	-9.01
157.24	17152.8	-7.21	-9.56
157.52	17162.4	-7.88	-9.1
158.06	17180.1	-7.42	-8.65
158.32	17188.3	-7.24	-8.43
158.84	17204	-7.84	-9.75
159.1	17211.6	-8.11	-9.76
159.62	17226.1	-7.04	-9.14
159.88	17233.1	-6.83	-8.81
160.4	17246.5	-5.09	-8.76
160.66	17253	-5.66	-8.72
161.18	17265.4	-6.22	-8.61
161.44	17271.4	-6.7	-8.91
161.98	17283.4	-7.34	-9.56
162.26	17289.4	-7.14	-8.95
162.82	17301	-7.79	-8.49
163.1	17306.5	-6.8	-8.03
163.66	17317.3	-5.74	-8.38
163.94	17322.6	-5.91	-6.75
164.5	17332.7	-5.82	-8.31
164.76	17337.3	-5.69	-8.13
165.28	17346.3	-5.85	-8.28
165.54	17350.7	-5.9	-8
166.08	17359.8	-3.52	-8.04
166.36	17364.4	-6.36	-7.74
166.92	17373.5	-5.49	-8.41
167.2	17378	-5.36	-8.07
167.72	17386.4	-5.17	-8.14
167.98	17390.5	-7.13	-8.62
168.5	17398.9	-6.35	-8.59
168.82	17404.1	-6.68	-8.9
169.14	17409.3	-7.29	-8.72
169.46	17414.6	-7.53	-9.09
169.78	17419.9	-7.05	-8.82
170.1	17425.4	-6.95	-8.57
170.36	17429.8	-7.06	-9.15
170.62	17434.3	-6.97	-8.81
170.88	17438.9	-7.25	-8.71
171.14	17443.6	-7.05	-8.83
171.4	17448.3	-6.72	-8.97
171.68	17453.5	-6.55	-8.95
171.96	17458.8	-6.94	-9.25
172.24	17464.2	-7.02	-9.32
172.52	17469.7	-6.78	-9.08
172.8	17475.3	-6.92	-9.07
173.06	17480.7	-6.89	-9.04
173.32	17486.1	-6.93	-9.29
173.58	17491.6	-6.7	-9.09
173.84	17497.2	-6.9	-8.82
174.1	17502.9	-6.89	-8.92
174.38	17509.2	-7.34	-8.93
174.94	17522	-7.43	-8.96
175.22	17528.5	-7.26	-8.66
175.76	17541.3	-4.62	-7.26
176.02	17547.7	-5.58	-7.92
176.28	17554	-6.57	-8.34
176.54	17560.5	-6.44	-8.24
176.8	17567	-5.85	-8.23
177.06	17573.6	-7.11	-8.49
177.32	17580.3	-6.96	-8.34
177.58	17587	-7.12	-8.85
177.84	17593.8	-6.8	-8.6
178.1	17600.7	-6.32	-8.47
178.36	17607.6	-7.07	-8.37
178.62	17614.6	-8.21	-8.58
178.88	17621.7	-8.27	-8.68
179.14	17628.8	-7.73	-9.11
179.4	17635.9	-6.24	-8.6
179.68	17643.7	-6.44	-8.07
179.96	17651.5	-6.31	-8.11
180.24	17659.4	-6.49	-7.81
180.52	17667.4	-6.84	-8.6
180.8	17675.4	-6.65	-8.77
181.06	17682.9	-6.5	-8.22
181.32	17690.4	-6.95	-8.15
181.58	17697.9	-7.35	-9.09
181.84	17705.5	-7.16	-9.2
182.1	17713.2	-7.17	-9.04
182.36	17720.9	-7.49	-9.18
182.62	17728.6	-7.08	-8.99
182.88	17736.3	-7.74	-9.5
183.14	17744.1	-7.92	-8.99
183.4	17751.9	-8	-9.39
183.7	17760.9	-7.35	-8.93
184	17770	-7.24	-8.96
184.3	17779.1	-6.51	-8.17
184.6	17788.3	-6.47	-8.54
184.7	17791.3	-6.51	-8.51
184.82	17795	-6.8	-9.49
185.26	17808.5	-7.34	-9.29
185.7	17822	-8.11	-8.92
186.16	17836.2	-6.06	-9.04
186.62	17850.4	-8.57	-10.23
187.08	17864.6	-6.74	-8.74
187.54	17878.9	-7.03	-9.11
188.46	17907.4	-7.64	-8.69
188.92	17921.6	-6.38	-7.93
189.38	17935.8	-8.24	-9.28
189.84	17950	-8.05	-8.03
190.3	17964.2	-5.74	-9.49
190.74	17977.7	-6.56	-9.21
191.18	17991.1	-7.44	-9.16
191.62	18004.5	-6.89	-8.96
192.06	18017.8	-7.3	-8.56
192.5	18031	-6.67	-8.89
192.96	18044.8	-7.35	-10.66
193.42	18058.4	-6.35	-8.3
193.88	18072	-7.68	-9.98
195.68	18124.5	-8.06	-9.86
196.12	18137.1	-7.56	-10.24
196.56	18149.7	-6.52	-8.69
197	18162.3	-7.74	-9.72
197.44	18174.8	-7.52	-9.3
197.88	18187.2	-7.87	-9.32
198.32	18199.6	-7.46	-9.01
198.76	18211.9	-8.2	-8.96
199.2	18224.2	-8.49	-10.01
199.67	18237.3	-7.91	-10.06
200.14	18250.3	-6.63	-9.21
200.6	18263	-8.36	-9.1
201.03	18274.8	-7.34	-8.72
201.44	18286.1	-7.57	-8.3
201.85	18297.3	-7.65	-9.26
202.26	18308.5	-7.73	-9.8
202.67	18319.7	-7.57	-7.82
203.08	18330.8	-8.49	-9.33
203.49	18341.9	-8.95	-9.41
203.9	18353	-7.68	-9.38
204.31	18364.1	-7.31	-9.81
204.72	18375.1	-8.63	-9.06
205.13	18386.2	-7.85	-9.41
205.54	18397.2	-7.24	-9.72
205.95	18408.2	-7.54	-9.35
206.36	18419.2	-6.93	-9.46
206.77	18430.2	-8.28	-10.14
207.18	18441.2	-7.42	-9.53
207.59	18452.2	-7.79	-9.27
208.01	18463.4	-7.51	-9.8
208.42	18474.3	-7.07	-9.3
208.83	18485.3	-7.21	-8.92
209.24	18496.3	-8.22	-9.64
210.08	18518.7	-7.24	-9.04
210.5	18530	-7.29	-9.12
210.92	18541.2	-8.11	-8.93
211.34	18552.5	-7.73	-8.95
211.76	18563.7	-7.99	-9.17
212.19	18575.3	-8.01	-9.29
212.63	18587.1	-8.32	-9.59
212.92	18594.9	-8.21	-9.12
213.4	18607.8	-8.15	-9.02
214.37	18634	-7.29	-9.33
214.86	18647.2	-8.2	-9.73
215.34	18660.2	-8.95	-9.14
215.83	18673.5	-8.77	-9.31
216.31	18686.5	-7.63	-9.32
216.79	18699.5	-7.91	-10.1
217.28	18712.8	-8.21	-9.9
217.76	18725.9	-8.43	-10.71
218.25	18739.2	-8.27	-10.1
218.73	18752.3	-7.91	-9.14
219.22	18765.6	-6.62	-8.21
219.7	18778.7	-6.33	-8.42
220.18	18791.8	-6.76	-8.7
220.67	18805.2	-7.58	-9.05
221.15	18818.4	-7.14	-9.09
221.64	18831.8	-6.98	-8.19
223.09	18871.5	-7.11	-8.27
223.57	18884.6	-6.88	-8.54
224.06	18898.1	-7.7	-10.41
224.54	18911.3	-6.53	-8.5
225.03	18924.7	-7.64	-8.12
225.51	18937.9	-6.28	-8.36
226	18951.4	-6.98	-8.36
226.48	18964.5	-7.21	-8.57
226.96	18977.7	-6.25	-8.15
227.45	18991.2	-5.59	-8.32
228.42	19017.9	-6.3	-8.87
228.9	19031.1	-7.21	-9.06
229.39	19044.6	-7.47	-8.57
230.84	19084.5	-7.38	-8.93
231.81	19111.1	-7.32	-9.09
232.29	19124.3	-6.39	-8.9
233.74	19164.2	-8.14	-10.03
234.23	19177.6	-9.36	-9.36
234.71	19190.8	-7.74	-8.42
235.2	19204.3	-7.47	-8.99
235.68	19217.5	-7.18	-7.83
236.17	19230.9	-6.9	-9
236.65	19244.1	-8.03	-7.71
237.14	19257.6	-7.41	-8.91
237.62	19270.8	-6.69	-8.76
239.07	19310.6	-7.82	-8.91
239.56	19324.1	-7.71	-9.1
240.54	19351	-7.47	-8.98
241.02	19364.2	-7.11	-8.45
241.51	19377.7	-6.58	-8.52
241.99	19390.9	-6.49	-9.05
