Depth_m	Age_yrsB1950	CH4_ppb
2559.378	21596.358	364.65
2560.377	21629.115	369.71
2561.377	21666.638	362.95
2562.379	21701.233	364.27
2563.478	21739.587	368.24
2564.946	21793.572	361.54
2565.382	21808.618	363.20
2566.382	21842.522	363.76
2567.374	21881.549	364.82
2568.336	21913.629	363.15
2569.485	21954.025	361.00
2570.479	21991.19	358.83
2571.384	22024.101	363.20
2572.386	22057.614	363.07
2574.383	22127.641	364.86
2575.383	22162.465	360.89
2576.384	22199.281	362.23
2577.386	22233.862	361.26
2578.335	22265.503	359.75
2579.386	22299.15	369.29
2580.386	22336.968	374.09
2581.387	22370.655	366.47
2582.387	22404.4	370.54
2584.387	22472.901	374.63
2585.386	22508.79	369.26
2586.389	22543.733	371.75
2587.438	22579.43	379.57
2588.339	22609.801	376.36
2589.39	22644.673	383.08
2590.391	22680.434	380.03
2591.392	22717.713	375.24
2592.392	22749.946	373.64
2595.053	22843.651	387.24
2595.393	22855.645	381.59
2596.393	22891.302	390.41
2597.394	22924.941	387.55
2598.345	22960.271	380.20
2600.355	23031.003	388.17
