Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-18--140	Be-10 (qtz)	14752	246	1195	14513	242	1119	14499	242	892	--	--	--
													
TM14-18--141	Be-10 (qtz)	14614	244	1184	14384	240	1109	14375	240	884	--	--	--
													
TM14-18--142	Be-10 (qtz)	14608	243	1184	14378	240	1108	14366	239	884	--	--	--
													
TM14-18--143	Be-10 (qtz)	14572	243	1181	14344	239	1106	14333	239	882	--	--	--
													
TM14-18--144	Be-10 (qtz)	14808	247	1200	14566	243	1123	14551	242	895	--	--	--
													
TM14-18--145	Be-10 (qtz)	14594	243	1182	14365	239	1107	14355	239	883	--	--	--
													
TM14-18--146	Be-10 (qtz)	14559	243	1180	14332	239	1105	14319	239	881	--	--	--
													
TM14-18--147	Be-10 (qtz)	14697	245	1191	14462	241	1115	14451	241	889	--	--	--
													
TM14-18--148	Be-10 (qtz)	14842	247	1203	14599	243	1125	14583	243	897	--	--	--
													
TM14-18--149	Be-10 (qtz)	15000	250	1215	14750	246	1137	14736	246	906	--	--	--
													
TM14-18--150	Be-10 (qtz)	14658	244	1188	14426	240	1112	14414	240	887	--	--	--
													
TM14-18--151	Be-10 (qtz)	14846	247	1203	14602	243	1126	14588	243	897	--	--	--
													
TM14-18--152	Be-10 (qtz)	14645	244	1187	14413	240	1111	14402	240	886	--	--	--
													
TM14-18--153	Be-10 (qtz)	14788	246	1198	14546	242	1121	14533	242	894	--	--	--
													
TM14-18--154	Be-10 (qtz)	14557	243	1179	14330	239	1105	14320	239	881	--	--	--
													
TM14-18--155	Be-10 (qtz)	14730	245	1193	14492	241	1117	14479	241	891	--	--	--
													
TM14-18--156	Be-10 (qtz)	14862	248	1204	14618	244	1127	14604	243	898	--	--	--
													
TM14-18--157	Be-10 (qtz)	14555	243	1179	14328	239	1105	14317	239	881	--	--	--
													
TM14-18--158	Be-10 (qtz)	14647	244	1187	14415	240	1111	14403	240	886	--	--	--
													
TM14-18--159	Be-10 (qtz)	14647	244	1187	14415	240	1111	14404	240	886	--	--	--
													
TM14-18--160	Be-10 (qtz)	14630	244	1185	14399	240	1110	14388	240	885	--	--	--
													
TM14-18--161	Be-10 (qtz)	14732	245	1194	14495	242	1117	14482	241	891	--	--	--
													
TM14-18--162	Be-10 (qtz)	14726	245	1193	14489	241	1117	14478	241	891	--	--	--
													
TM14-18--163	Be-10 (qtz)	14668	244	1188	14435	241	1113	14424	240	887	--	--	--
													
TM14-18--164	Be-10 (qtz)	14605	243	1183	14376	240	1108	14365	239	884	--	--	--
													
TM14-18--165	Be-10 (qtz)	14678	245	1189	14444	241	1114	14433	240	888	--	--	--
													
TM14-18--166	Be-10 (qtz)	14657	244	1188	14424	240	1112	14413	240	887	--	--	--
													
TM14-18--167	Be-10 (qtz)	14599	243	1183	14370	239	1108	14357	239	883	--	--	--
													
TM14-18--168	Be-10 (qtz)	14668	244	1188	14435	241	1113	14423	240	887	--	--	--
													
