Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_diff_cm	Avg_diff_SD	Avg_diff_n	Avg_SWE_m	SWE_m_SD	SWE_n	Cor_SWEvsElevation	Cor_SWEvsInsolation	R_squared
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	October	345.2				0.00343203954214361	0.0107834847455298	31	0.665146076526165	0.0475245249724105	0.454910605867191
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	November	219.75				0.0317702107526881	0.050148423394545	31	0.685296017450218	-0.0332400777694348	0.489425115421562
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	December	175.93				0.142991427679501	0.11618960595985	31	0.520576548712945	-0.0638088590520588	0.246458088996122
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	January	215.56						0	0.226860524027306	0.0164965881632034	0.121184362015554
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	February	292.89				0.406342722341569		12	0.212580840916089	0.0624046104174903	0.038777645161961
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	March	488.35				0.548223342669748		28	0.193057491557799	0.000970126669397888	0.0286103483667989
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	April	627.42				0.464987409284056		67	0.355143053243069	-0.0123946530632691	0.121152586735371
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	May	759.52				0.102496597274282		43	0.538642056595992	0.183649261803028	0.538334349925135
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	June	773.87						0	0.518287894485839	-0.268750650545776	0.270694396378618
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	July	779.65						0	0.360980358360112	-0.0894020404911492	0.117038051032853
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	August	689.49						0	0.374868816434567	-0.0330745193046189	0.141307278897059
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	September	536.79						0	0.0902117095102845	0.37718412070553	0.00403976867041546
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	October	355.73						0	0.665146076526165	0.0475245249724105	0.454910605867191
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	November	229.34						0	0.685296017450218	-0.0332400777694348	0.489425115421562
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	December	184.69						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	January	208.62						0	0.226860524027306	0.0164965881632034	0.121184362015554
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	February	286.1				0.65503518010466		19	0.212580840916089	0.0624046104174903	0.038777645161961
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	March	483.34				0.838911210994306		19	0.193057491557799	0.000970126669397888	0.0286103483667989
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	April	628.7				0.850148560242867		19	0.355143053243069	-0.0123946530632691	0.121152586735371
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	May	767.98				0.455003743157041		19	0.538642056595992	0.183649261803028	0.538334349925135
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	June	785.27						0	0.518287894485839	-0.268750650545776	0.270694396378618
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	July	789.79						0	0.360980358360112	-0.0894020404911492	0.117038051032853
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	August	693.04						0	0.374868816434567	-0.0330745193046189	0.141307278897059
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	September	533.3						0	0.0902117095102845	0.37718412070553	0.00403976867041546
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	October	348.78						0	0.665146076526165	0.0475245249724105	0.454910605867191
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	November	222.36						0	0.685296017450218	-0.0332400777694348	0.489425115421562
